>> main
CPS(1): L=2.00000000, r=0.50000000, A=0.78539816
CPS(2): L=3.41421356, r=0.29289322, A=0.53901208
CPS(3): L=3.93185165, r=0.25433310, A=0.60964481
CPS(4): L=4.00000000, r=0.25000000, A=0.78539816
CPS(5): L=4.82842712, r=0.20710678, A=0.67376511
CPS(6): L=5.32820118, r=0.18768060, A=0.66395691
CPS(7): L=5.73205081, r=0.17445763, A=0.66931083
CPS(8): L=5.86370331, r=0.17054069, A=0.73096383
CPS(9): L=6.00000000, r=0.16666667, A=0.78539816
CPS(10): L=6.74744152, r=0.14820432, A=0.69003579
CPS(11): L=7.02250950, r=0.14239924, A=0.70074158
CPS(12): L=7.14495755, r=0.13995884, A=0.73846822
CPS(13): L=7.46304783, r=0.13399351, A=0.73326469
CPS(14): L=7.73205081, r=0.12933179, A=0.73567926
CPS(15): L=7.86370331, r=0.12716655, A=0.76205601
CPS(16): L=8.00000000, r=0.12500000, A=0.78539816
CPS(17): L=8.53266035, r=0.11719674, A=0.73355026
CPS(18): L=8.65640235, r=0.11552143, A=0.75465336
CPS(19): L=8.90746094, r=0.11226544, A=0.75230790
CPS(20): L=8.97808335, r=0.11138235, A=0.77949369
CPS(21): L=9.35801996, r=0.10686021, A=0.75335770
CPS(22): L=9.46384509, r=0.10566530, A=0.77168011
CPS(23): L=9.72740661, r=0.10280232, A=0.76363103
CPS(24): L=9.86370331, r=0.10138180, A=0.77496326
CPS(25): L=10.00000000, r=0.10000000, A=0.78539816
CPS(26): L=10.37749820, r=0.09636234, A=0.75846909
CPS(27): L=10.47998304, r=0.09542000, A=0.77231146
CPS(28): L=10.67545369, r=0.09367283, A=0.77185411
CPS(29): L=10.81512002, r=0.09246314, A=0.77890624
CPS(30): L=10.90856833, r=0.09167106, A=0.79201903
CPC(1): L=1.00000000, r=1.00000000, A1=3.14159265, A2=1.00000000
CPC(2): L=2.00000000, r=0.50000000, A1=1.57079633, A2=0.50000000
CPC(3): L=2.15470054, r=0.46410162, A1=2.03000584, A2=0.64617093
CPC(4): L=2.41421356, r=0.41421356, A1=2.15604834, A2=0.68629150
CPC(5): L=2.70130162, r=0.37019191, A1=2.15265147, A2=0.68521024
CPC(6): L=3.00000000, r=0.33333333, A1=2.09439510, A2=0.66666667
CPC(7): L=3.00000000, r=0.33333333, A1=2.44346095, A2=0.77777778
CPC(8): L=3.30476487, r=0.30259339, A1=2.30122312, A2=0.73250207
CPC(9): L=3.61312593, r=0.27676865, A1=2.16583908, A2=0.68940799
CPC(10): L=3.81302563, r=0.26225892, A1=2.16077936, A2=0.68779743
CPC(11): L=3.92380440, r=0.25485470, A1=2.24454263, A2=0.71446011
CPC(12): L=4.02960193, r=0.24816347, A1=2.32170388, A2=0.73902130
CPC(13): L=4.23606798, r=0.23606798, A1=2.27597446, A2=0.72446517
CPC(14): L=4.32842855, r=0.23103073, A1=2.34756379, A2=0.74725276
CPC(15): L=4.52135696, r=0.22117254, A1=2.30517308, A2=0.73375938
CPC(16): L=4.61542559, r=0.21666474, A1=2.35964325, A2=0.75109777
CPC(17): L=4.79203375, r=0.20867967, A1=2.32572873, A2=0.74030245
CPC(18): L=4.86370331, r=0.20560465, A1=2.39049714, A2=0.76091887
CPC(19): L=4.86370331, r=0.20560465, A1=2.52330254, A2=0.80319214
CPC(20): L=5.12232074, r=0.19522401, A1=2.39467363, A2=0.76224829
CPC(21): L=5.25231748, r=0.19039215, A1=2.39148262, A2=0.76123256
CPC(22): L=5.43971896, r=0.18383303, A1=2.33571381, A2=0.74348080
CPC(23): L=5.54520422, r=0.18033601, A1=2.34986341, A2=0.74798475
CPC(24): L=5.65166109, r=0.17693913, A1=2.36052657, A2=0.75137894
CPC(25): L=5.75282433, r=0.17382766, A1=2.37316348, A2=0.75540140
CPC(26): L=5.82817654, r=0.17158025, A1=2.40468295, A2=0.76543436
CPC(27): L=5.90639785, r=0.16930793, A1=2.43146623, A2=0.77395974
CPC(28): L=6.01493810, r=0.16625275, A1=2.43133935, A2=0.77391935
CPC(29): L=6.13859790, r=0.16290365, A1=2.41773945, A2=0.76959037
CPC(30): L=6.19774107, r=0.16134911, A1=2.45360287, A2=0.78100605
>> 
